title,Course,level,Duration_Total,RedPercent,Density_av,Density_high20,Density_low20,Density_max,Density_min,SeenVel_rootav,SeenVel_change,SeenVel_change_time,ComplexWeighyDiff
Butterfly,Oni,6,114.58741133159593,0.5755968169761273,3.32844130037362,4.146937202359618,2.3572064097623096,11.1,0.2466666666666667,111.0069697414548,0.0033333333333334103,0.14014682256664296,2.9206911594100564
LIFE,Oni,8,94.48818897637896,0.5966587112171837,4.9153703703703195,5.585648148148089,3.998148148148106,8.466666666666667,0.3256410256410258,127.0,0,0,3.5439536649498247
LOVE 2000,Oni,6,112.9411150138556,0.668,4.917681159420196,6.307077625570657,4.123858447488507,11.333333333333332,0.8095238095238101,170.0003716075044,0,0,3.35592083253383
Love Forever,Oni,6,120.0,0.593167701863354,2.9315068493150687,3.452914798206278,2.42152466367713,8.0,0.4,120.0,0,0,2.5896933143378678
LOVE RAIN ÔΩûÊÅã„ÅÆÈõ®ÔΩû,Oni,7,122.18181818181914,0.6583850931677019,3.065104166666653,3.8790931989924227,2.0319059613769834,7.333333333333334,0.3188405797101451,110.00000000000001,0,0,2.9029559493156234
LOVEÇ∏Ç¡Ç´Ç„ÇÒ,Oni,8,102.39999999999853,0.5661290322580645,6.092519685039459,7.381889763779634,4.0846456692913975,10.0,0.32258064516129,150.00000000000037,0,0,3.862878130727911
Punishment,Oni,10,148.61970203471165,0.5975975975975976,7.154440957231612,8.996817035396466,3.727764827415269,15.0,0.21034478916470498,211.3181973628806,0.003097874105230547,0.6749860328823142,5.113842807118592
Ring a Ding Dong,Oni,7,91.88571428571399,0.5804020100502513,4.687921727395427,4.958333333333349,4.2000000000000135,8.75,0.9722222222222221,175.00000000000205,0,0,3.2798049697809137
TRAIN-TRAIN,Oni,6,148.39679191712042,0.6540642722117203,3.6848244339018974,5.059654762459991,1.395766831023446,12.755308011737998,0.6266666666666664,184.55858474559818,0.012685427313055886,0.43403475858199025,2.917516945638063
VICTORY,Oni,7,118.15384615384447,0.6018306636155606,4.011323425336215,5.012156998958046,3.2962834317471836,8.666666666666666,0.24074074074074073,130.00000000000094,0,0,3.434400664990271
Ç∂ÇÂÇ¢Ç”ÇÈ,Oni,6,102.64150943396255,0.6153846153846154,5.196976241900657,5.740072202166057,4.696422710863137,10.6,0.5888888888888889,159.0000000000003,0,0,3.352625692049984
ÇªÇŒÇ©Ç∑,Oni,5,82.80701754386064,0.6345514950166113,3.7499999999999534,5.062499999999937,2.312499999999971,8.55,0.285,171.00000000000264,0,0,2.814011653122141
Ç…ÇÒÇ∞ÇÒÇ¡ÇƒÇ¢Ç¢Ç»,Oni,8,107.63636363636525,0.5755102040816327,4.621134020618487,6.56786941580746,2.8350515463917096,11.0,0.34374999999999994,165.00000000000054,0,0,3.86172765735098
Ç–Ç‹ÇÌÇË,Oni,5,114.78260869565045,0.7197452229299363,3.2427927927928373,3.9369369369369904,2.6418918918919276,9.200000000000001,0.3833333333333333,91.99999999999987,0,0,2.4617026320483832
„Åæ„ÅüÂêõ„Å´ÊÅã„Åó„Å¶„Çã,Oni,6,108.38531434907487,0.42735042735042733,2.534519652948754,3.7500668421333523,1.1000196070257833,6.2,0.20678055884619997,72.62341095728938,0.064489510493833,0.3220177212252848,2.695604929127799
ÉCÉPÉiÉCëæóz,Oni,8,99.26242503618937,0.7039473684210527,4.911223958333336,6.746186755952384,3.8858035714285735,9.671333333333333,0.9671333333333333,145.07000000000002,0,0,3.7592613431967306
ÉLÉZÉL,Oni,3,90.66666666666681,0.729064039408867,2.409542743538765,2.988281249999995,1.6992187499999971,6.0,0.5000000000000001,90.00000000000001,0,0,2.1789070688021157
„Éã„Éõ„É≥„Éé„Éü„Ç´„ÇøÔºç„Éç„Éê„ÉÄ„Ç´„É©„Ç≠„Éû„Ç∑„ÇøÔºç,Oni,7,89.14285714286021,0.5751173708920188,4.837398373983583,5.861788617885988,3.4146341463413528,9.333333333333334,0.7777777777777776,140.00000000000446,0,0,3.7248746007764275
ÉqÅ[?Å[,Oni,7,115.0259001128407,0.6128266033254157,4.043003494773536,4.6430749252043775,3.5174810039427102,8.136693333333334,0.33630008631171854,121.01439447077345,0.006916916738600509,0.4165390643300167,3.1424763520748087
Év???ÉAÅ`â‘âSÅ`,Oni,7,109.47368421052683,0.4721549636803874,3.8656790123456637,4.972839506172819,2.4864197530864094,7.6000000000000005,0.23749999999999985,114.0,0,0,2.856489272279681
É|ÉjÅ[ÉeÅ[ÉãÇ∆ÉVÉÖÉVÉÖ,Oni,7,110.98054377277833,0.6402569593147751,4.552757797217953,6.0084679083455805,3.5171519463486325,10.666666666666666,0.2812520752337922,153.8007844874303,0.1898005317637057,0.39724445137800823,3.265447931906017
É|ÉäÉäÉYÉÄ,Oni,8,127.5,0.62478184991274,4.766666666666667,5.625,3.625,8.533333333333333,0.35555555555555557,128.0,0,0,3.4015483671666087
ÉäÉìÉ_ÉäÉìÉ_,Oni,5,117.89180633717619,0.6551724137931034,3.3366235078459727,5.146919240826233,1.109249836384964,13.231333333333334,0.18291046824983342,175.04842363318335,0.038850061136708414,0.535411206452721,2.9793624695838568
ëOó™ÅAìπÇÃè„ÇÊÇË,Oni,8,116.02649006622329,0.563076923076923,5.690998838559907,6.620499419280015,4.340592334494844,10.066666666666666,0.5033333333333333,150.99999999999974,0,0,4.011177664714613
âR,Oni,7,108.755298651252,0.5918854415274463,3.9463013997653564,5.1452972795983705,1.982591612322308,12.0,0.3318414322250642,178.7810107705057,0.020030601377068802,0.5583114826973483,3.1566875136890036
